player_name,exp_whiff_rate,n,exp_whiff_rate_FF,exp_whiff_rate_SI,exp_whiff_rate_SL,exp_whiff_rate_CH,exp_whiff_rate_CU,exp_whiff_rate_FC,n_FF,n_SI,n_SL,n_CH,n_CU,n_FC,f_p_str,exp_HR_rate,n1,exp_HR_rate_FF,exp_HR_rate_SI,exp_HR_rate_SL,exp_HR_rate_CH,exp_HR_rate_CU,exp_HR_rate_FC,n_FF1,n_SI1,n_SL1,n_CH1,n_CU1,n_FC1
Jordan Holloway,0.132,5,0.11,0,0,0.07,0.26,0,3,0,0,1,1,0,0.75,0.04,4,0.04,0,0,0.04,0,0,3,0,0,1,0,0
Tyler Lyons,0.13083333333333333,12,0.1,0,0.15,0.21,0,0,7,0,3,2,0,0,0.5,0.043000000000000003,10,0.05,0,0.01,0.06,0,0,7,0,2,1,0,0
Sterling Sharp,0.12707317073170735,41,0.05,0.12,0,0.24,0.23,0,6,29,0,5,1,0,0.5172413793103449,0.03517241379310345,29,0.06,0.03,0,0.03,0.03,0,5,21,0,2,1,0
Bernardo Flores Jr.,0.12399999999999999,15,0.13,0.17,0.15,0.1,0.1,0,8,1,1,1,4,0,0.9,0.021,10,0.02,0.01,0.04,0,0.02,0,4,1,1,0,4,0
Jimmy Yacabonis,0.1236842105263158,19,0,0.11,0.14,0.16,0,0,0,13,2,4,0,0,0.5384615384615384,0.050769230769230775,13,0,0.03,0.02,0.1,0,0,0,8,1,4,0,0
Matt Grace,0.1236842105263158,19,0.05,0,0.27,0.13,0,0,12,0,6,1,0,0,0.8,0.034999999999999996,10,0.04,0,0.02,0.03,0,0,7,0,2,1,0,0
Aaron Barrett,0.11750000000000002,8,0,0.1,0.17,0,0,0,0,6,2,0,0,0,0.3333333333333333,0.0275,8,0,0.03,0.02,0,0,0,0,6,2,0,0,0
Josh D. Smith,0.11615384615384615,13,0.11,0.15,0.03,0,0,0,8,4,1,0,0,0,0.7,0.069,10,0.07,0.06,0.07,0,0,0,6,1,3,0,0,0
Sal Romano,0.10999999999999999,6,0,0.06,0.21,0,0,0,0,4,2,0,0,0,1,0.04,4,0,0.02,0.06,0,0,0,0,2,2,0,0,0
Matt Davidson,0.10280000000000002,25,0.08,0.1,0,0.26,0.09,0,4,19,0,1,1,0,0.7333333333333333,0.09666666666666668,15,0.13,0.09,0,0,0.04,0,5,8,0,0,2,0
Drew Butera,0.08176470588235293,17,0.09,0,0,0.07,0,0,10,0,0,7,0,0,0.75,0.1075,8,0.08,0,0,0.19,0,0,6,0,0,2,0,0
Bryan Holaday,0.0325,8,0.01,0,0.05,0,0.06,0,4,0,2,0,2,0,0.6666666666666666,0.11,3,0.14,0,0,0,0.05,0,2,0,0,0,1,0
Kevin Plawecki,0.025,2,0.03,0,0,0.02,0,0,1,0,0,1,0,0,0.3333333333333333,0.19999999999999998,3,0.1,0,0,0.25,0,0,1,0,0,2,0,0
Charlie Culberson,NA,NA,0.08,0,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0,NA,NA,0.05,0,NA,NA,NA,NA,1,0,NA,NA,NA,NA
Erik Kratz,NA,NA,0.12,0,NA,NA,NA,NA,11,0,NA,NA,NA,NA,0.6666666666666666,NA,NA,0.11,0,NA,NA,NA,NA,6,0,NA,NA,NA,NA
John Ryan Murphy,NA,NA,0.02,0,NA,NA,NA,NA,5,0,NA,NA,NA,NA,0,NA,NA,0.18,0,NA,NA,NA,NA,3,0,NA,NA,NA,NA
Todd Frazier,NA,NA,0.02,0,NA,NA,NA,NA,4,0,NA,NA,NA,NA,0.6666666666666666,NA,NA,0.36,0,NA,NA,NA,NA,2,0,NA,NA,NA,NA
