p_throws,player_name,CH,CU,FC,FF,SI,SL,FIP_based_on_stuff,Predicted_FIP,exp_whiff_pct,exp_homerun_pct,uBB_perc,PA
L,Martin Perez,41,31,76,56.99999999999999,74,,3.7,4.15,10.2,2.4,10.7,263
L,Matt Hall,,,,42,,,4.71,6.13,8.5,3.8,18.5,54
L,Matt Strahm,,,,42,94,,3.9,3.65,10.2,2.8,4.8,84
L,Matthew Boyd,84,56.00000000000001,,23,,28.000000000000004,4.06,4.23,11.5,3.7,8.1,271
L,Max Fried,67,77,,86,53,41,3.59,3.76,9.4,1.8,8.5,226
L,Mike Kickham,,79,,,,6,3.51,3.37,11.9,2.7,5.7,69
L,Mike Minor,3,,,69,,1,4.55,4.75,9.4,3.8,8.4,239
L,Nick Margevicius,69,10,,36,,14.000000000000002,4.42,4.47,9.8,3.7,7.1,168
L,Nik Turley,,75,,80,,,4.06,4.55,10.1,3.1,10.9,91
L,Oliver Perez,,,,,47,18,4.55,4.24,8.2,3.3,4.2,71
L,Patrick Corbin,74,,,18,37,15,4.45,4.35,10,3.9,5.8,294
L,Patrick Sandoval,51,,,69,,4,3.94,4.03,12,3.6,7.5,159
L,Paul Fry,,,,64,,89,3.08,3.34,12.7,2.1,9.2,98
L,Rich Hill,,15,,0,,,5.38,5.92,8,5,10.9,150
L,Richard Bleier,,,,,37,93,3.94,3.64,9.3,2.5,4.5,66
L,Robbie Erlin,24,5,,13,,,4.96,4.77,9.8,4.9,4.9,121
L,Robbie Ray,,65,,63,,42,3.82,5.14,14.6,4.5,17.5,261
L,Ross Detwiler,,,,4,99,4,4.49,4.28,9.7,3.8,4.9,80
L,Ryan Borucki,28.000000000000004,,,,50,76,3.6,4.59,11.6,2.7,15.1,71
L,Ryan Yarbrough,64,96,21,,31,,3.87,3.61,10.8,3,4.7,220
L,Sam Howard,,,,35,,10,4.37,4.81,13,5,10,90
L,Sam Selman,,,,71,,14.000000000000002,3.77,4.28,12.2,3.3,11,82
L,Scott Alexander,,,,,74,,3.99,4.99,8,2,15.4,51
L,Sean Manaea,24,7.000000000000001,,,60,,4.32,3.93,9.1,3.2,3.6,222
L,Sean Newcomb,9,,,72,,,4.19,4.41,10.4,3.5,8.6,70
L,Stephen Tarpley,,,,,62,,4.64,5.19,8.5,3.6,11.3,51
L,Steven Brault,85,,,56.99999999999999,53,49,3.51,4.16,11.7,2.6,12.4,176
L,Steven Matz,30,70,,,20,,4.1,4.13,11.1,3.6,7,143
L,T.J. McFarland,67,,,,64,,3.74,3.53,8.8,1.8,5.4,93
L,Tanner Scott,,,,94,,90,2.51,3.08,16.5,2.5,11.6,87
L,Tarik Skubal,11,89,,54,,36,4.24,4.44,12.9,4.7,8.2,133
L,Taylor Hearn,,,,73,,40,3.65,4.59,13.5,3.6,14.5,74
L,Taylor Rogers,,,,,37,69,3.57,3.26,11,2.4,4.4,94
L,Tim Hill,,,,26,71,,4.54,4.5,9.8,4,6.3,78
L,Tommy Milone,81,,,0,,43,4.93,4.57,11.4,5.5,3.3,181
L,Tony Watson,12,,,,23,,4.07,3.73,9.8,2.9,4.1,74
L,Trevor Rogers,92,,,22,,31,4.1,4.5,11.6,3.8,10,130
L,Tyler Alexander,69,,84,14.000000000000002,28.999999999999996,68,3.79,3.67,10.9,2.9,5.9,147
L,Tyler Anderson,36,,64,8,75,,4.26,4.62,11.5,4.1,9.6,261
L,Tyler Matzek,,,,94,,32,3.37,3.55,13.1,2.9,8.3,121
L,Tyler Webb,51,49,,45,86,,4.14,4.27,9.5,3,8,87
L,Victor Gonzalez,,,,,92,98,2.99,2.43,12.2,1.7,2.5,80
L,Wade LeBlanc,51,,9,,67,,4.57,4.71,10.1,4.2,7.8,103
L,Wade Miley,77,,65,,,,3.24,4.02,12.8,2.5,13.4,66
L,Wandy Peralta,77,,,78,99,74,2.96,3.28,14.3,2.5,9.6,108
L,Wes Benjamin,64,,,12,,2,4.57,4.65,11.4,4.7,7.1,98
L,Will Smith,,,,30,,60,3.92,3.9,12.4,3.8,6.5,62
L,Yusei Kikuchi,69,,62,87,,32,3.66,4.09,12.4,3.2,10.3,194
L,Zack Britton,,,,,81,,3.91,4.17,8.8,2.2,9.2,77
R,A.J. Cole,,,,31,,50,4.33,4.45,13.2,5,7.4,96
R,Aaron Civale,59,83,49,,6,51,3.97,3.76,10.5,3.1,5.1,313
R,Aaron Nola,77,,,48,32,,3.55,3.6,12,2.8,7.3,287
R,Aaron Slegers,,,,30,90,8,4.43,3.98,9.6,3.7,3,99
R,Adam Cimber,,,,3,2,2,5.29,5.02,9.8,5.6,4.1,54
R,Adam Ottavino,,,,,49,43,4.21,4.67,10.5,3.6,10.6,85
R,Adam Plutko,,,,42,,27,4.48,4.41,10.6,4.2,6,116
R,Adam Wainwright,,44,51,39,2,,4.65,4.52,8.5,3.6,5.7,262
R,Adbert Alzolay,,,,24,66,59,3.86,4.83,11.2,3.1,14.9,87
R,Adrian Houser,48,16,,51,62,51,4.05,4.24,8.9,2.6,8.5,249
R,Alec Mills,56.00000000000001,4,,3,11,63,4.88,4.97,7.6,3.7,7.5,254
R,Alex Cobb,74,,,,14.000000000000002,,3.8,3.92,10.2,2.6,8,226
R,Alex Colome,,,97,47,,,3.05,3.29,13.7,2.5,8.9,93
R,Alex Reyes,,,,95,,97,2.88,3.87,15.2,2.7,15.1,86
R,Anibal Sanchez,80,,43,5,1,,4.07,4.03,10.3,3.2,6.5,244
R,Anthony Bass,,,,,16,84,3.72,3.72,10.7,2.6,7,98
R,Anthony DeSclafani,12,,,79,56.99999999999999,68,3.53,3.93,12.6,3,10.1,161
R,Antonio Senzatela,5,55.00000000000001,,53,,60,4.1,3.99,9.8,3,5.9,303
R,Archie Bradley,24,,,34,,,4.71,4.41,9.7,4.3,4.1,72
R,Asher Wojciechowski,,46,,25,,18,4.31,4.59,10.9,4,8.9,167
R,Austin Brice,,20,,54,75,,4.39,5.36,8.9,3.3,14.9,88
R,Austin Voth,,53,1,35,,,5.05,5.13,9.3,4.9,7.1,223
R,Blake Parker,44,,,19,,,4.3,4.71,10.8,3.9,10.1,67
R,Blake Treinen,,,,,93,90,3.5,3.44,10.5,2,6.5,107
R,Brad Boxberger,55.00000000000001,,,62,,51,3.84,4.25,12.3,3.6,10.1,79
R,Brad Brach,,,5,,,,4.81,7.09,10.2,4.7,25.4,59
R,Brad Keller,,,,61,25,74,3.98,4.1,9.2,2.5,7.9,215
R,Brady Lail,,,,8,,,4.69,5.1,10.4,4.5,9.9,71
R,Brady Singer,59,,,,25,47,3.89,4.1,9.8,2.6,8.7,263
R,Brandon Bielak,90,,42,33,,2,4.35,4.93,10.6,3.9,11.5,148
R,Brandon Kintzler,,,,,23,,4.73,4.85,6.6,3,7.9,97
R,Brandon Woodruff,69,93,,92,82,87,3.28,3.18,12.8,2.6,6.1,291
R,Brandon Workman,93,,35,50,,,4.11,4.63,12,4,10.9,99
R,Brusdar Graterol,,,,,91,79,3.36,2.92,10.6,1.8,3.4,88
R,Bryan Garcia,59,,,,57.99999999999999,51,3.98,4.45,10.2,2.9,10.8,90
R,Bryse Wilson,,,,59,86,43,3.94,4.61,11.6,3.5,12.3,73
R,Buck Farmer,98,,,9,,,3.79,3.65,12.1,3.4,5.6,84
R,Cal Quantrill,82,,,,61,48,3.83,3.63,11,3,5.2,133
R,Cam Bedrosian,,,,32,,22,4.36,4.81,10.9,4.1,10.3,59
R,Cam Hill,,,,37,,4,4.84,4.72,9.7,4.6,5.6,80
R,Carlos Carrasco,81,,,60,26,69,3.16,3.49,14,2.8,9.6,280
R,Carlos Estevez,,,,77,,36,3.94,4.08,12.8,4,7.8,116
R,Carlos Hernandez,,11,,,47,,4.09,4.36,11.3,3.7,9,67
R,Carlos Martinez,90,,,46,,30,3.68,3.77,10.8,2.6,7.7,102
R,Casey Mize,85,,,34,49,19,3.78,4.14,11.6,3.1,9.8,132
R,Casey Sadler,,84,77,,34,,3.79,4.65,11.3,3,14,86
R,Cesar Valdez,36,,,,,,3.67,3.54,12.1,3.1,5.7,53
R,Chad Green,,57.99999999999999,,82,,,3.92,3.83,11.7,3.5,6,98
R,Chad Kuhl,37,,,,43,30,3.97,4.87,11.5,3.5,14.2,198
R,Charlie Morton,,66,,47,75,,4.13,4.03,10.5,3.4,5.9,171
R,Chase Anderson,54,62,47,14.000000000000002,,,4.1,4.08,11.2,3.7,6.5,140
R,Chi Chi Gonzalez,,,3,44,,,4.63,5.15,8.8,3.7,11,91
R,Chris Bassitt,20,25,31,70,31,,4.55,4.52,8.6,3.5,6.5,262
R,Chris Martin,,,,,8,69,4.03,3.58,11.1,3.4,3,65
R,Chris Mazza,,,19,24,63,33,4.12,4.63,10.4,3.3,11,136
R,Chris Paddack,45,1,,20,,,4.8,4.61,10.2,4.7,4.9,248
R,Chris Stratton,69,65,,62,,84,3.45,3.82,13.2,3.1,9.9,132
R,Codi Heuer,,,,,79,75,3.71,4.07,11.4,2.9,9.8,92
R,Cody Ponce,,,,12,,,4.68,4.97,9.2,4,9.1,66
R,Cody Stashak,,,,44,,24,4.18,4.03,12.2,4.3,5.3,57
R,Cole Sulser,96,,,27,,84,3.64,4.76,13.4,3.6,16,99
R,Colin Rea,,,,28.999999999999996,,,4.71,4.3,9.2,4.1,3.2,62
R,Colten Brewer,,54,73,,,43,3.48,4.05,13.4,3.2,11.5,122
R,Corbin Burnes,90,93,99,,89,99,2.82,3.18,14.5,2.3,10,241
R,Corey Knebel,0,,,78,,,4.15,4.91,12.4,4.2,12.9,62
R,Corey Oswalt,,,,13,,51,4.22,3.87,12.3,4.4,3.6,55
R,Craig Kimbrel,89,,,98,,,3.34,4.45,14.9,3.6,15.9,70
R,Craig Stammen,,,,,32,84,4.36,3.99,8.5,3,3.8,104
R,Cristian Javier,17,,,55.00000000000001,,16,4.27,4.5,12,4.4,8.4,214
R,Dakota Bacus,,,,,3,76,3.5,4.57,11.7,2.6,15.8,57
R,Dakota Hudson,,72,,28.999999999999996,62,41,3.98,4.26,9.1,2.5,9.3,150
R,Dan Altavilla,,,,97,,48,3.06,3.9,17.2,4,13.5,89
R,Dan Winkler,,,36,95,,,3.95,4.9,12.3,3.8,14.5,76
R,Dane Dunning,39,,,30,15,24,4.22,4.51,9.5,3.1,9.2,142
R,Daniel Bard,,,,90,,30,3.48,3.56,13.2,3.2,7.5,103
