player_name,pitch_type,p_throws,stand,whiff_rate,exp_whiff_rate,mph,rpm,n,diff
A.J. Cole,FF,R,L,0.08928571428571429,0.1,93.00178571428572,2305.3035714285716,1,0.010714285714285718
A.J. Cole,FF,R,R,0.15714285714285714,0.11,93.68571428571428,2353.1285714285714,1,-0.04714285714285714
A.J. Cole,SL,R,R,0.18421052631578946,0.21,83.5859649122807,2300.157894736842,1,0.02578947368421053
A.J. Minter,CH,L,R,0.12962962962962962,0.21,85.43703703703704,1659.7407407407406,1,0.08037037037037037
A.J. Minter,FC,L,L,0.2641509433962264,0.23,87.66981132075472,2404.4150943396226,1,-0.0341509433962264
A.J. Minter,FC,L,R,0.1702127659574468,0.15,88.11489361702128,2452.5106382978724,1,-0.02021276595744681
A.J. Minter,FF,L,R,0.1111111111111111,0.16,95.52777777777777,2311.0555555555557,1,0.0488888888888889
Aaron Bummer,SI,L,R,0.08,0.07,95.70933333333333,2050.8133333333335,1,-0.009999999999999995
Aaron Civale,CH,R,L,0.13095238095238096,0.17,85.26666666666667,2029.0595238095239,1,0.03904761904761905
Aaron Civale,CU,R,L,0.232,0.13,75.5192,2837.704,1,-0.10200000000000001
Aaron Civale,CU,R,R,0.21875,0.17,75.846875,2835.8958333333335,1,-0.04874999999999999
Aaron Civale,FC,R,L,0.13714285714285715,0.12,87.43257142857144,2521.52,1,-0.017142857142857154
Aaron Civale,FC,R,R,0.16216216216216217,0.16,87.39009009009008,2453.3783783783783,1,-0.002162162162162168
Aaron Civale,SI,R,L,0.06349206349206349,0.06,91.87857142857143,2275.1111111111113,1,-0.0034920634920634908
Aaron Civale,SI,R,R,0.014184397163120567,0.07,91.65390070921985,2263.7021276595747,1,0.05581560283687944
Aaron Civale,SL,R,R,0.0759493670886076,0.21,82.11772151898734,2701.0379746835442,1,0.1340506329113924
Aaron Loup,FC,L,R,0.11666666666666667,0.17,85.37,2416.4166666666665,1,0.053333333333333344
Aaron Loup,SI,L,L,0.0625,0.11,91.85625,2118.859375,1,0.0475
Aaron Loup,SI,L,R,0.10810810810810811,0.07,92.22027027027028,2176.0405405405404,1,-0.03810810810810811
Aaron Nola,CH,R,L,0.1557377049180328,0.14,85.23770491803279,1513.1475409836066,1,-0.01573770491803278
Aaron Nola,CH,R,R,0.2569444444444444,0.23,84.65069444444444,1530.8125,1,-0.02694444444444441
Aaron Nola,CU,R,L,0.23846153846153847,0.15,78.51384615384616,2490.853846153846,1,-0.08846153846153848
Aaron Nola,CU,R,R,0.26515151515151514,0.19,78.7030303030303,2511.848484848485,1,-0.07515151515151514
Aaron Nola,FF,R,L,0.10738255033557047,0.12,92.69060402684563,2195.8657718120803,1,0.012617449664429528
Aaron Nola,FF,R,R,0.14563106796116504,0.1,93.0495145631068,2185.5436893203882,1,-0.045631067961165034
Aaron Nola,SI,R,L,0,0.06,91.65189873417721,2103.1265822784812,1,0.06
Aaron Nola,SI,R,R,0.025210084033613446,0.07,91.77226890756303,2102.168067226891,1,0.04478991596638656
Aaron Slegers,FF,R,L,0.12903225806451613,0.06,91.03064516129032,1984.6612903225807,1,-0.06903225806451613
Aaron Slegers,SI,R,R,0.16981132075471697,0.08,91.16698113207548,1929.6037735849056,1,-0.08981132075471697
Aaron Slegers,SL,R,R,0.12857142857142856,0.18,85.00285714285714,2096.6714285714284,1,0.051428571428571435
Adam Kolarek,SI,L,L,0.15384615384615385,0.11,89.2021978021978,2140.131868131868,1,-0.043846153846153854
Adam Kolarek,SI,L,R,0.0625,0.06,89.0109375,2162.921875,1,-0.0025000000000000022
Adam Morgan,SL,L,L,0.2857142857142857,0.23,81.50428571428571,2762.7428571428572,1,-0.05571428571428569
Adam Ottavino,SI,R,L,0.018867924528301886,0.07,93.52264150943397,2220.5471698113206,1,0.051132075471698124
Adam Ottavino,SI,R,R,0.06578947368421052,0.09,93.24078947368422,2212.842105263158,1,0.024210526315789474
Adam Ottavino,SL,R,R,0.17647058823529413,0.19,81.08333333333333,2863.8039215686276,1,0.013529411764705873
Adam Plutko,FF,R,L,0.15476190476190477,0.08,90.97738095238095,2271.0476190476193,1,-0.07476190476190477
Adam Plutko,FF,R,R,0.18823529411764706,0.11,91.17411764705882,2317.788235294118,1,-0.07823529411764706
Adam Plutko,SL,R,R,0.12941176470588237,0.19,86.59647058823529,2473.8705882352942,1,0.06058823529411764
Adam Wainwright,CU,R,L,0.15,0.1,73.28285714285714,2797.1857142857143,1,-0.04999999999999999
Adam Wainwright,CU,R,R,0.25333333333333335,0.16,73.72333333333333,2801.4266666666667,1,-0.09333333333333335
Adam Wainwright,FC,R,L,0.10989010989010989,0.11,85.13516483516483,2302.8571428571427,1,1.0989010989011228e-4
Adam Wainwright,FC,R,R,0.24242424242424243,0.15,84.87272727272727,2396.9848484848485,1,-0.09242424242424244
Adam Wainwright,FF,R,L,0.05555555555555555,0.05,89.07407407407408,2226.8888888888887,1,-0.00555555555555555
Adam Wainwright,SI,R,L,0,0.05,88.93333333333334,2177.2916666666665,1,0.05
Adam Wainwright,SI,R,R,0.08461538461538462,0.07,89.46538461538462,2192.646153846154,1,-0.014615384615384613
Adbert Alzolay,FF,R,R,0.07142857142857142,0.11,94.55,2423.8035714285716,1,0.038571428571428576
Adbert Alzolay,SL,R,L,0.13114754098360656,0.14,80.84590163934426,2906.065573770492,1,0.008852459016393449
Adbert Alzolay,SL,R,R,0.22077922077922077,0.21,82.02207792207793,2893.8311688311687,1,-0.010779220779220777
